workYear,education,financeStage,companyLogo,district,companyId,explain,industryField,companyLabelList,positionLables,firstType,formatCreateTime,industryLables,companySize,positionName,jobNature,deliver,gradeDescription,companyFullName,createTime,positionId,companyShortName,salary,isSchoolJob,secondType,positionAdvantage
1-3年,大专,不需要融资,images/logo_default.png,龙华新区,202117,,"电子商务,移动互联网",,"金融,支付,旅游,财务",综合职能类,11:10发布,"金融,支付,旅游,财务",15-50人,会计,全职,0,,深圳市勒朗国际贸易有限公司,2018-06-01 11:10:05,4611756,勒朗国际,5k-7k,0,财务,"电商,奢侈品,五险一金,定期旅游"
1-3年,大专,不需要融资,i/image2/M00/4E/86/CgoB5lsHejSAKUxLAAAMitU3Aow574.png,南山区,391801,,金融,"""""","金融,财务,统计,审核",综合职能类,08:47发布,"金融,财务,统计,审核",150-500人,会计,全职,0,,深圳前海盈聚融资租赁有限公司,2018-06-01 08:47:44,4627746,盈聚金融,4k-6k,0,财务,"五险一金,周末双休,绩效奖金,节日福利"
1-3年,大专,B轮,i/image/M00/01/09/Cgp3O1ZeaiuAeSlZAAApnlIIzEc499.png,龙华新区,108522,,"移动互联网,O2O","专项奖金,带薪年假,绩效奖金,弹性工作","财务,税务",综合职能类,10:11发布,,150-500人,会计,全职,0,,深圳市百米生活股份有限公司,2018-06-01 10:11:34,3815721,百米生活,4k-8k,0,财务,"完善福利,五险一金,周末双休,绩效奖金"
1-3年,大专,不需要融资,i/image2/M00/30/19/CgoB5lo7WLiAPDNAAAAoX7ptsAY022.png,福田区,237934,,移动互联网,"带薪年假,领导nice,酷文化","财务,税务,AR",综合职能类,10:13发布,,150-500人,全盘会计,全职,0,,深圳市分时共享网络有限公司,2018-06-01 10:13:56,3830620,i GO 我行,5k-8k,0,财务,"共享经济,下午茶"
不限,大专,不需要融资,i/image2/M00/0F/8C/CgoB5lnnC--ACT21AAAuuz8nMVU200.jpg,福田区,274375,,"移动互联网,电子商务",,,综合职能类,09:10发布,,150-500人,会计助理,全职,0,,满金坝(深圳)科技有限公司,2018-06-01 09:10:01,4528291,满金坝,3k-4k,0,财务,"年终分红,年度加薪,福利待遇好,发展空间"
3-5年,本科,C轮,i/image/M00/43/D3/Cgp3O1eEWFSARprHAABDJ7bBCBg228.png,福田区,35539,,金融,"年底双薪,节日礼物,技能培训,年度旅游","金融,主管,财务,税务",综合职能类,09:50发布,"金融,主管,财务,税务",2000人以上,高级会计,全职,0,,深圳前海达飞金融服务有限公司,2018-06-01 09:50:31,4609849,即有分期,8k-12k,0,财务,"六险一金,充足年假,弹性工作,职业发展"
3-5年,大专,B轮,i/image/M00/1D/C0/CgqKkVcFvqeACSVHAAAIdkJtS0E386.jpg,龙岗区,114731,,移动互联网,"带薪年假,节日礼物,美女多,扁平管理","财务,经理,税务,审核",综合职能类,09:39发布,,50-150人,会计主管,全职,0,,深圳市猎芯科技有限公司,2018-06-01 09:39:17,4506382,猎芯科技,6k-10k,0,财务,发展空间大
1-3年,大专,不需要融资,i/image/M00/78/63/Cgp3O1g7rCqAS_zVAAAUyboOM-o428.png,南山区,51688,,游戏,"绩效奖金,年底双薪,带薪年假,定期体检",,综合职能类,1天前发布,,50-150人,财务/会计 Accountant,全职,0,,中联畅想（深圳）网络科技有限公司,2018-05-31 14:50:45,4539326,TOPFUN,6k-8k,0,财务,"项目好,福利好,氛围好"
不限,本科,不需要融资,i/image2/M00/06/E7/CgoB5lnLI8mAOsvlAAA4ScSzOIs867.png,福田区,267497,,"移动互联网,电子商务",,"支付,银行,旅游,结算,财务",综合职能类,1天前发布,"支付,银行,旅游,结算,财务",50-150人,往来会计,全职,0,,深圳鼎信付科技有限公司,2018-05-31 10:28:18,4586856,鼎信付,6k-8k,0,财务,"五险一金,年底双薪,节日福利,定期体检"
应届毕业生,本科,B轮,i/image/M00/00/33/CgqKkVYyzaaAOjKZAAAPhPpIF5c803.png,南山区,32679,,"企业服务,数据服务","技能培训,年底双薪,股票期权,带薪年假","财务,税务,统计",综合职能类,1天前发布,,150-500人,会计助理 实习生,全职,0,,深圳市铱云云计算有限公司,2018-05-31 10:26:57,4121566,易订货,1k-2k,1,财务,宽松的氛围和互联网行业的发展空间
